time_utc,xray_flux
2026-03-01T00:00:00Z,1.0557707193831534e-08
2026-03-01T00:01:00Z,8.100043020890668e-09
2026-03-01T00:02:00Z,9.100117273476477e-09
2026-03-01T00:03:00Z,8.892842952595292e-09
2026-03-01T00:04:00Z,1.0945884856656049e-08
2026-03-01T00:05:00Z,1.0706797949691644e-08
2026-03-01T00:06:00Z,1.1568718270819383e-08
2026-03-01T00:07:00Z,8.347755330517665e-09
2026-03-01T00:08:00Z,9.687687278741081e-09
2026-03-01T00:09:00Z,8.119188877752281e-09
2026-03-01T00:10:00Z,8.874551899214413e-09
2026-03-01T00:11:00Z,1.002142115241345e-08
2026-03-01T00:12:00Z,8.106143878735454e-09
2026-03-01T00:13:00Z,8.795350602746595e-09
2026-03-01T00:14:00Z,1.0599537751118093e-08
2026-03-01T00:15:00Z,1.0179765922412866e-08
2026-03-01T00:16:00Z,8.881762488162787e-09
2026-03-01T00:17:00Z,1.0357062735503636e-08
2026-03-01T00:18:00Z,1.1237721826711307e-08
2026-03-01T00:19:00Z,8.025995038712245e-09
2026-03-01T00:20:00Z,1.1223277007331232e-08
2026-03-01T00:21:00Z,1.0792557579952908e-08
2026-03-01T00:22:00Z,9.361002066071967e-09
2026-03-01T00:23:00Z,8.621917999247126e-09
2026-03-01T00:24:00Z,1.1828852288827125e-08
2026-03-01T00:25:00Z,9.346378180450507e-09
2026-03-01T00:26:00Z,8.370983373520593e-09
2026-03-01T00:27:00Z,8.386865507333856e-09
2026-03-01T00:28:00Z,1.1389977465389838e-08
2026-03-01T00:29:00Z,1.0414904125467564e-08
2026-03-01T00:30:00Z,1.1228513093097521e-08
2026-03-01T00:31:00Z,1.091892714677527e-08
2026-03-01T00:32:00Z,1.0144912365818804e-08
2026-03-01T00:33:00Z,1.1892463055917482e-08
2026-03-01T00:34:00Z,9.514137508833413e-09
2026-03-01T00:35:00Z,1.0208162525092908e-08
2026-03-01T00:36:00Z,1.131761865701198e-08
2026-03-01T00:37:00Z,1.0474079009456984e-08
2026-03-01T00:38:00Z,1.1446827601243108e-08
2026-03-01T00:39:00Z,1.0309408581027049e-08
2026-03-01T00:40:00Z,1.0818287344859694e-08
2026-03-01T00:41:00Z,8.183297534622649e-09
2026-03-01T00:42:00Z,8.911593102606188e-09
2026-03-01T00:43:00Z,9.15755185440843e-09
2026-03-01T00:44:00Z,8.31916790769451e-09
2026-03-01T00:45:00Z,8.931163545444122e-09
2026-03-01T00:46:00Z,8.404005717638917e-09
2026-03-01T00:47:00Z,9.11189441244037e-09
2026-03-01T00:48:00Z,1.0542737777057601e-08
2026-03-01T00:49:00Z,9.459328715880337e-09
2026-03-01T00:50:00Z,9.480723868467531e-09
2026-03-01T00:51:00Z,8.838028123085951e-09
2026-03-01T00:52:00Z,9.067911288196454e-09
2026-03-01T00:53:00Z,1.1746618350849975e-08
2026-03-01T00:54:00Z,1.0592141540986373e-08
2026-03-01T00:55:00Z,1.0436524022667953e-08
2026-03-01T00:56:00Z,8.684554592792388e-09
2026-03-01T00:57:00Z,1.0916507191801397e-08
2026-03-01T00:58:00Z,8.653609975047714e-09
2026-03-01T00:59:00Z,9.517821767030592e-09
2026-03-01T01:00:00Z,1.195809340254638e-08
2026-03-01T01:01:00Z,1.055999903941637e-08
2026-03-01T01:02:00Z,1.0227798975098586e-08
2026-03-01T01:03:00Z,1.0738457003959499e-08
2026-03-01T01:04:00Z,1.1371407680759239e-08
2026-03-01T01:05:00Z,1.1103999646184979e-08
2026-03-01T01:06:00Z,8.916192287856418e-09
2026-03-01T01:07:00Z,8.128400975616152e-09
2026-03-01T01:08:00Z,9.261812192236328e-09
2026-03-01T01:09:00Z,9.07096350390281e-09
2026-03-01T01:10:00Z,8.843931374345307e-09
2026-03-01T01:11:00Z,1.1771638857340218e-08
2026-03-01T01:12:00Z,1.1505470505890676e-08
2026-03-01T01:13:00Z,9.258711523193912e-09
2026-03-01T01:14:00Z,1.062175466117952e-08
2026-03-01T01:15:00Z,9.582527604242656e-09
2026-03-01T01:16:00Z,1.1658190358962176e-08
2026-03-01T01:17:00Z,9.835407410349595e-09
2026-03-01T01:18:00Z,9.05952066599221e-09
2026-03-01T01:19:00Z,8.986510030775934e-09
2026-03-01T01:20:00Z,1.0245472536652603e-08
2026-03-01T01:21:00Z,9.050966434091741e-09
2026-03-01T01:22:00Z,1.0338343960894163e-08
2026-03-01T01:23:00Z,1.1591291534409907e-08
2026-03-01T01:24:00Z,9.597602020561589e-09
2026-03-01T01:25:00Z,8.877283036629134e-09
2026-03-01T01:26:00Z,1.199015042598044e-08
2026-03-01T01:27:00Z,1.0038105174705858e-08
2026-03-01T01:28:00Z,8.363637648695176e-09
2026-03-01T01:29:00Z,8.188465501698938e-09
2026-03-01T01:30:00Z,8.438596521402637e-09
2026-03-01T01:31:00Z,1.050978416681236e-08
2026-03-01T01:32:00Z,1.1168317457451856e-08
2026-03-01T01:33:00Z,9.688639867198736e-09
2026-03-01T01:34:00Z,8.254110824607829e-09
2026-03-01T01:35:00Z,9.526477146026146e-09
2026-03-01T01:36:00Z,1.1984485520960387e-08
2026-03-01T01:37:00Z,1.0116457380396549e-08
2026-03-01T01:38:00Z,1.1884313510454472e-08
2026-03-01T01:39:00Z,1.1443118808937993e-08
2026-03-01T01:40:00Z,8.04592408777128e-09
2026-03-01T01:41:00Z,1.0882887277440779e-08
2026-03-01T01:42:00Z,1.0726841476106299e-08
2026-03-01T01:43:00Z,1.0147881321635181e-08
2026-03-01T01:44:00Z,9.067300759810172e-09
2026-03-01T01:45:00Z,1.0563847194319232e-08
2026-03-01T01:46:00Z,8.446208694383505e-09
2026-03-01T01:47:00Z,9.73906100267642e-09
2026-03-01T01:48:00Z,9.814894825316826e-09
2026-03-01T01:49:00Z,1.1815263710084321e-08
2026-03-01T01:50:00Z,1.1503411761512776e-08
2026-03-01T01:51:00Z,9.053556203004363e-09
2026-03-01T01:52:00Z,1.0002344452201193e-08
2026-03-01T01:53:00Z,8.714607522120526e-09
2026-03-01T01:54:00Z,1.1650511357379282e-08
2026-03-01T01:55:00Z,1.1482074279347067e-08
2026-03-01T01:56:00Z,9.193779165794532e-09
2026-03-01T01:57:00Z,1.0555797979464021e-08
2026-03-01T01:58:00Z,1.043588084575269e-08
2026-03-01T01:59:00Z,8.61135707419854e-09
2026-03-01T02:00:00Z,1.1050043200300606e-08
2026-03-01T02:01:00Z,1.0157516120478502e-08
2026-03-01T02:02:00Z,1.1114505914522233e-08
2026-03-01T02:03:00Z,1.012141468878071e-08
2026-03-01T02:04:00Z,8.002287584511774e-09
2026-03-01T02:05:00Z,9.296624228018693e-09
2026-03-01T02:06:00Z,8.077906969543329e-09
2026-03-01T02:07:00Z,1.1716394465058469e-08
2026-03-01T02:08:00Z,1.1514887511292737e-08
2026-03-01T02:09:00Z,1.1326662117444717e-08
2026-03-01T02:10:00Z,9.230056501610647e-09
2026-03-01T02:11:00Z,8.23170066597675e-09
2026-03-01T02:12:00Z,1.1512038396816162e-08
2026-03-01T02:13:00Z,1.1787797781191975e-08
2026-03-01T02:14:00Z,8.342613808271515e-09
2026-03-01T02:15:00Z,9.943961853266455e-09
2026-03-01T02:16:00Z,8.276850073873536e-09
